train: ag_train_acts.npz   held-out cue: decision   n=424
  layer     in-sample     held-out
  L0            0.500        0.500
  L1            0.996        0.638
  L2            0.997        0.715
  L3            1.000        0.701
  L4            1.000        0.709
  L5            1.000        0.749
  L6            1.000        0.760
  L7            1.000        0.763
  L8            1.000        0.789
  L9            1.000        0.785
  L10           1.000        0.786
  L11           1.000        0.768
  L12           1.000        0.809
  L13           1.000        0.793
  L14           1.000        0.783
  L15           1.000        0.808
  L16           1.000        0.813
  L17           1.000        0.831
  L18           1.000        0.797
  L19           1.000        0.812
  L20           1.000        0.825
  L21           1.000        0.834
  L22           1.000        0.847
  L23           1.000        0.825
  L24           1.000        0.835
  L25           0.999        0.842
  L26           0.999        0.834
  L27           0.999        0.840
  L28           0.999        0.844
  L29           1.000        0.851
  L30           1.000        0.865
  L31           1.000        0.871
  L32           1.000        0.862
