train: ag_train_acts.npz   held-out cue: decision   n=424
  layer     in-sample     held-out
  L0            0.500        0.500
  L1            0.996        0.642
  L2            0.997        0.714
  L3            0.999        0.704
  L4            1.000        0.704
  L5            1.000        0.761
  L6            1.000        0.767
  L7            1.000        0.762
  L8            1.000        0.788
  L9            1.000        0.790
  L10           1.000        0.789
  L11           1.000        0.776
  L12           1.000        0.810
  L13           1.000        0.805
  L14           1.000        0.793
  L15           1.000        0.818
  L16           1.000        0.814
  L17           1.000        0.833
  L18           1.000        0.805
  L19           1.000        0.816
  L20           1.000        0.825
  L21           1.000        0.837
  L22           1.000        0.844
  L23           0.999        0.837
  L24           1.000        0.845
  L25           1.000        0.850
  L26           0.999        0.832
  L27           0.999        0.845
  L28           0.999        0.849
  L29           1.000        0.857
  L30           0.999        0.864
  L31           1.000        0.865
  L32           1.000        0.858
